OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,IMPORT_STATUS,INDUSTRY_CLASS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,SUBMODEL,TLA,TRANSMISSION_TYPE,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
3471,BLACK,HATCHBACK,1360,2012,5,1362,USED,PRIVATE,CITROEN,C2,PETROL,2,4,IMPORTED BUILT-UP,UNITED KINGDOM,0,UNITED KINGDOM,VTR,DUNEDIN CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2008
3472,GREEN,STATION WAGON,1990,2004,9,1710,USED,PRIVATE,MITSUBISHI,RVR,PETROL,2,4,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1995
3473,SILVER,UTILITY,2999,2005,11,2800,NEW,PRIVATE,HOLDEN,RODEO,DIESEL,2,4,IMPORTED BUILT-UP,THAILAND,96,NONE,LX CREW PU 3L MAN,HASTINGS DISTRICT,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2005
3474,BLUE,DOMESTIC TRAILER,0,2008,8,1999,NEW,UNKNOWN,BRIFORD,17X6.6 ROWING 8,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,DUNEDIN CITY,,TRAILER/CARAVAN,OTHER GOODS,2008
3475,GREY,LIGHT VAN,2400,2006,7,1575,NEW,PRIVATE,HONDA,ODYSSEY,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,118,NONE,VTIL 7ST 2.4 5DR 5A,ASHBURTON DISTRICT,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3476,GOLD,SALOON,1998,2006,7,1665,NEW,PRIVATE,HONDA,CIVIC,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,114,NONE,2.0S,WHAKATANE DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3477,GREY,SALOON,1990,2005,3,1515,USED,PRIVATE,NISSAN,PRIMERA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,CENTRAL OTAGO DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1997
3478,BLACK,UTILITY,2999,2005,9,2900,NEW,PRIVATE,HOLDEN,RODEO,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,96,NONE,LT CREW 3L MAN,HASTINGS DISTRICT,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2005
3479,RED,HATCHBACK,2260,2005,5,1693,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,115,NONE,SPORTHATCH SP23 2.3,MATAMATA-PIAKO DISTRICT,5-GEAR MANUAL,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3480,GOLD,HATCHBACK,1998,2005,6,1655,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,104,NONE,SPORTHATCH GLX 2.0 M,AUCKLAND,5-GEAR MANUAL,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3481,BLUE,HATCHBACK,1998,2005,6,1693,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,104,NONE,SPORTHATCH GSX 2.0 A,HASTINGS DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
