OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,IMPORT_STATUS,INDUSTRY_CLASS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,SUBMODEL,TLA,TRANSMISSION_TYPE,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
3541,SILVER,SALOON,3791,2003,11,0,NEW,PRIVATE,HOLDEN,COMMODORE,PETROL,0,5,IMPORTED BUILT-UP,AUSTRALIA,152,NONE,EXECUTIVE V6,CHRISTCHURCH CITY,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
3542,WHITE,OTHER TRUCK,5786,1991,10,11000,NEW,PRIVATE,ISUZU,FSR11HX 4X2,DIESEL,2,3,UNKNOWN,JAPAN,0,NONE,,ROTORUA DISTRICT,,GOODS VAN/TRUCK/UTILITY,TRANSPORT LICENSED GOODS,1991
3543,GREY,UTILITY,2555,1991,9,2195,NEW,PRIVATE,MITSUBISHI,L200,PETROL,2,6,UNKNOWN,JAPAN,0,NONE,,WAIPA DISTRICT,,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,1991
3544,BLUE,UTILITY,2389,1991,9,2740,NEW,PRIVATE,NISSAN,NAVARA,PETROL,0,2,UNKNOWN,JAPAN,0,NONE,,WHAKATANE DISTRICT,,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,1991
3545,BLACK,HATCHBACK,2260,2005,5,1693,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,115,NONE,SPORTHATCH SP23 2.3,TAUPO DISTRICT,5-GEAR MANUAL,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3546,BLUE,SALOON,2261,2005,6,1798,NEW,PRIVATE,MAZDA,MAZDA6,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,122,NONE,SEDAN GSX 2.3 AUTO H,TAUPO DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3547,BLUE,HATCHBACK,1998,2005,5,1693,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,104,NONE,SPORTHATCH GSX 2.0 A,AUCKLAND,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3548,RED,STATION WAGON,2982,2004,9,2185,USED,PRIVATE,TOYOTA,HILUX,DIESEL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,SURF SSRX,LOWER HUTT CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1994
3549,RED,HATCHBACK,1500,1990,3,0,RE-REG,PRIVATE,TOYOTA,LEVIN,PETROL,0,5,UNKNOWN,JAPAN,0,JAPAN,GT,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1984
3550,SILVER,STATION WAGON,3497,2006,9,2650,NEW,PRIVATE,KIA,SORENTO,PETROL,0,5,IMPORTED BUILT-UP,SOUTH KOREA,145,NONE,3.5 V6 AUTO,CHRISTCHURCH CITY,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3551,BROWN,SALOON,1600,1979,2,0,NEW,PRIVATE,FORD,CORTINA,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1979
3552,GOLD,SALOON,1998,2006,2,1674,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,104,NONE,SEDAN GSX 2.0 AUTO,KAPITI COAST DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3553,WHITE,HATCHBACK,1340,2004,9,1155,USED,AGRICULTURE/FORESTRY/FISHING,HONDA,LOGO,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,FAR NORTH DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2000
3554,GOLD,SALOON,1799,2006,7,1665,NEW,PRIVATE,HONDA,CIVIC,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,103,NONE,1.8S,TIMARU DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3555,SILVER,DOMESTIC TRAILER,0,2005,10,2500,NEW,UNKNOWN,FACTORY BUILT,BRENT SMITH TRAILERS,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,HASTINGS DISTRICT,,TRAILER/CARAVAN,OTHER GOODS,2005
3556,WHITE,LIGHT VAN,1364,2005,10,1925,NEW,PRIVATE,HOLDEN,COMBO,PETROL,0,2,IMPORTED BUILT-UP,SPAIN,66,NONE,XC 1.4 MANUAL,AUCKLAND,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2005
3557,GREY,LIGHT VAN,2400,2006,7,1575,NEW,PRIVATE,HONDA,ODYSSEY,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,118,NONE,VTIL 7ST 2.4 5DR 5A,KAPITI COAST DISTRICT,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3558,PINK,SALOON,3000,1990,2,0,NEW,UNKNOWN,MITSUBISHI,V3000 S/S,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,,PALMERSTON NORTH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
3559,BLUE,HATCHBACK,1323,1990,3,0,NEW,PRIVATE,FORD,LASER,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,1.3 GL,WAITAKI DISTRICT,,PASSENGER CAR/VAN,OTHER,1990
3560,BLACK,HATCHBACK,2260,2005,5,1713,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,115,NONE,SPORTHATCH SP23 2.3,AUCKLAND,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3561,BLACK,STATION WAGON,1896,2007,7,1900,NEW,PRIVATE,SKODA,OCTAVIA,DIESEL,0,5,IMPORTED BUILT-UP,CZECH REPUBLIC,77,NONE,1.9 TDI COMBI,AUCKLAND,6-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2007
3562,WHITE,SALOON,1770,1982,8,0,NEW,PRIVATE,TOYOTA,CORONA,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,CX,UPPER HUTT CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1982
3563,GREY,SALOON,2261,2005,6,1798,NEW,PRIVATE,MAZDA,MAZDA6,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,122,NONE,SEDAN GSX 2.3 AUTO H,SELWYN DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3564,SILVER,STATION WAGON,1990,2006,5,1795,USED,PRIVATE,TOYOTA,IPSUM,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1997
3565,WHITE,STATION WAGON,2950,2006,11,2205,USED,PRIVATE,NISSAN,TERRANO,DIESEL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,R3M-R,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1999
3566,GREEN,SALOON,998,1981,2,0,NEW,PRIVATE,LEYLAND,MINI 1000,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,WELLINGTON CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1981
3567,SILVER,HATCHBACK,1998,2005,6,1655,RE-REG,PRIVATE,MAZDA,MAZDA3,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,104,NEW ZEALAND,SPORTHATCH GSX 2.0 M,AUCKLAND,5-GEAR MANUAL,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3568,BLUE,STATION WAGON,4169,2004,9,2685,USED,PRIVATE,NISSAN,SAFARI,DIESEL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,KINGSROAD,WAIKATO DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1996
3569,SILVER,LIGHT VAN,2400,2006,7,1575,NEW,PRIVATE,HONDA,ODYSSEY,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,118,NONE,VTIL 7ST 2.4 5DR 5A,PORIRUA CITY,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3570,BLUE,SALOON,1998,2006,7,1665,NEW,PRIVATE,HONDA,CIVIC,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,114,NONE,2.0S,LOWER HUTT CITY,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3571,WHITE,SELF PROPELLED CARAVAN,5193,2010,1,7450,NEW,PRIVATE,ISUZU,NQR,DIESEL,2,5,NZ ASSEMBLED/BUILT,JAPAN,140,NONE,NQR500CVL AMT,THAMES-COROMANDEL DISTRICT,6-GEAR AUTO,MOTOR CARAVAN,PRIVATE PASSENGER,2010
3572,GREEN,STATION WAGON,1970,2005,10,1655,USED,PRIVATE,HONDA,CRV,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1996
3573,BLUE,SELF PROPELLED CARAVAN,4160,2004,9,5500,USED,PRIVATE,TOYOTA,COASTER,DIESEL,2,3,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,MASTERTON DISTRICT,,MOTOR CARAVAN,PRIVATE PASSENGER,1996
3574,WHITE,UTILITY,2999,2006,4,2800,NEW,PRIVATE,HOLDEN,RODEO,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,96,NONE,LT CREW PU 3L MAN,NAPIER CITY,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2006
3575,WHITE,LIGHT VAN,2770,2004,10,2855,USED,WHOLESALE/RETAIL/TRADE,TOYOTA,HIACE,DIESEL,2,3,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,GORE DISTRICT,,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,1994
3576,SILVER,SALOON,1995,2004,8,1565,USED,PRIVATE,NISSAN,CEFIRO,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,EXCIMO,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1995
3577,BLUE,SALOON,1490,2012,4,1395,USED,PRIVATE,NISSAN,TIIDA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,LATIO,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2004
3578,SILVER,UTILITY,2389,1991,10,3500,NEW,PRIVATE,NISSAN,NAVARA,PETROL,0,2,UNKNOWN,JAPAN,0,NONE,,SELWYN DISTRICT,,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,1991
3579,BLACK,CONVERTIBLE,3999,2009,6,2280,NEW,PRIVATE,BMW,M3,PETROL,2,5,IMPORTED BUILT-UP,GERMANY,309,NONE,CABRIO 7A 3DR 4.0L,WHANGAREI DISTRICT,7-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2009
3580,SILVER,STATION WAGON,2500,1991,9,2720,NEW,PRIVATE,LAND ROVER,DISCOVERY,DIESEL,2,7,UNKNOWN,UNITED KINGDOM,0,NONE,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1991
3581,GREEN,STATION WAGON,2156,2004,4,0,USED,PRIVATE,HONDA,ACCORD,PETROL,0,5,IMPORTED BUILT-UP,UNITED STATES,0,JAPAN,,CARTERTON DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1995
3582,BLUE,HATCHBACK,1490,2006,12,1470,NEW,PRIVATE,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,75,NONE,GLXHA 1.5 5DR,WELLINGTON CITY,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3583,GREY,CONVERTIBLE,1580,2004,10,1390,USED,PRIVATE,ROVER,200,PETROL,0,4,IMPORTED BUILT-UP,UNITED KINGDOM,0,JAPAN,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1996
3584,BLUE,STATION WAGON,3496,2005,10,2555,USED,PRIVATE,MITSUBISHI,PAJERO,PETROL,0,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,EXCEED,DUNEDIN CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1997
3585,BLACK,STATION WAGON,3150,2006,7,2405,USED,PRIVATE,NISSAN,ELGRAND,DIESEL,0,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,INVERCARGILL CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1998
3586,RED,MOTORCYCLE,600,2007,8,0,USED,PRIVATE,YAMAHA,FZS,PETROL,0,0,IMPORTED BUILT-UP,JAPAN,0,UNITED KINGDOM,600,AUCKLAND,,MOTORCYCLE,PRIVATE PASSENGER,2003
3587,WHITE,SERVICE COACH,8200,1980,10,14224,NEW,PRIVATE,BRISTOL,HESS,DIESEL,2,48,UNKNOWN,NOT KNOWN,0,NONE,,WHANGANUI DISTRICT,,BUS,OTHER,1980
3588,WHITE,STATION WAGON,1839,2005,1,1375,USED,PRIVATE,MITSUBISHI,LIBERO,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,CB5W,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1998
3589,SILVER,DOMESTIC TRAILER,0,2008,1,925,NEW,UNKNOWN,TRAILER,PRESCOTT,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,WESTERN BAY OF PLENTY DISTRICT,,TRAILER/CARAVAN,OTHER GOODS,2008
3590,GREEN,HATCHBACK,997,2007,2,1105,USED,PRIVATE,NISSAN,MARCH,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,BULLER DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1998
3591,WHITE,LIGHT VAN,1998,2006,2,1860,USED,PRIVATE,TOYOTA,TOWNACE,PETROL,0,3,IMPORTED BUILT-UP,JAPAN,0,JAPAN,NOAH SUPEREXTRA,KAIPARA DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1998
3592,SILVER,DOMESTIC TRAILER,0,2006,2,0,NEW,UNKNOWN,TRAILER,WAIHOU ENGINEERING,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,MATAMATA-PIAKO DISTRICT,,TRAILER/CARAVAN,OTHER GOODS,2006
3593,BLUE,UTILITY,2999,2006,1,2800,NEW,PRIVATE,HOLDEN,RODEO,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,96,NONE,LX CREW PU 3L MAN,AUCKLAND,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2006
3594,BLUE,STATION WAGON,3600,2009,1,0,NEW,PRIVATE,SUBARU,TRIBECA,PETROL,2,7,IMPORTED BUILT-UP,UNITED STATES,189,NONE,3.6,SOUTH TARANAKI DISTRICT,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2009
3595,RED,HATCHBACK,1998,2005,6,1693,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,104,NONE,SPORTHATCH GSX 2.0 A,AUCKLAND,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3596,WHITE,UTILITY,1328,2008,3,1500,NEW,PRIVATE,SUZUKI,JIMNY,PETROL,2,2,IMPORTED BUILT-UP,JAPAN,59,NONE,,NEW PLYMOUTH DISTRICT,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2008
3597,SILVER,UTILITY,2499,2006,5,2868,NEW,PRIVATE,MAZDA,BOUNTY,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,86,NONE,D/C W/S 4WD SDX AB A,DUNEDIN CITY,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2006
3598,WHITE,HEAVY VAN,2399,2007,5,3300,NEW,PRIVATE,FORD,TRANSIT,DIESEL,2,3,IMPORTED BUILT-UP,UNITED KINGDOM,74,NONE,SWB MROOF M,TAURANGA CITY,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2007
3599,SILVER,OTHER COMMERCIAL TRAILER,0,2007,5,0,NEW,UNKNOWN,TRAILER,SCURR ENG,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,DUNEDIN CITY,,TRAILER/CARAVAN,OTHER GOODS,2007
3600,BLUE,SALOON,1587,2004,8,1290,USED,PRIVATE,TOYOTA,TRUENO,PETROL,2,4,IMPORTED BUILT-UP,JAPAN,0,JAPAN,SPRINTER,LOWER HUTT CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1995
3601,SILVER,HATCHBACK,1340,2012,5,1265,USED,PRIVATE,MAZDA,DEMIO,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2009
3602,BLUE,STATION WAGON,2450,2004,11,1645,USED,PRIVATE,SUBARU,LEGACY,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,GRAND WAGON,KAIPARA DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1996
3603,RED,SALOON,1799,2006,7,1665,NEW,PRIVATE,HONDA,CIVIC,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,103,NONE,1.8S,LOWER HUTT CITY,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3604,WHITE,UTILITY,2499,2005,9,2720,NEW,PRIVATE,FORD,COURIER,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,86,NONE,2.5TD XL CRW W/S 4X2,WAIMAKARIRI DISTRICT,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2005
3605,BLUE,HATCHBACK,1490,2007,5,1470,NEW,PRIVATE,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,75,NONE,GLXHA2 1.5 5DR,CHRISTCHURCH CITY,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2007
3606,GREEN,SALOON,4398,2006,12,1995,USED,PRIVATE,BMW,540I,PETROL,2,5,IMPORTED BUILT-UP,GERMANY,0,JAPAN,,TIMARU DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1997
3607,SILVER,SALOON,1999,2007,7,1895,NEW,PRIVATE,FORD,MONDEO,PETROL,2,5,IMPORTED BUILT-UP,BELGIUM,105,NONE,2.0 SEDAN AUT,TIMARU DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2007
3608,SILVER,SALOON,1998,2005,8,1674,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,104,NONE,SEDAN GSX 2.0 AUTO,ROTORUA DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3609,GREY,HATCHBACK,1998,2005,6,1655,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,104,NONE,SPORTHATCH GSX 2.0 M,CHRISTCHURCH CITY,5-GEAR MANUAL,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3610,SILVER,STATION WAGON,1490,2012,3,1515,USED,PRIVATE,MAZDA,AXELA,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3611,GREY,HATCHBACK,1998,2005,6,1655,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,104,NONE,SPORTHATCH GLX 2.0 M,CHRISTCHURCH CITY,5-GEAR MANUAL,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3612,SILVER,UTILITY,3199,2012,6,3200,NEW,PRIVATE,FORD,RANGER,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,147,NONE,3.2TD XL DC W/S 4X2,AUCKLAND,6-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2012
3613,GREY,STATION WAGON,2995,2012,6,1765,USED,PRIVATE,SUBARU,LEGACY,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,3.0R,AUCKLAND,,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3614,YELLOW,MOBILE MACHINE,5000,1991,10,3499,NEW,COMMERCIAL ROAD TRANSPORT,CATERPILLAR,926E,DIESEL,0,0,UNKNOWN,JAPAN,0,NONE,,INVERCARGILL CITY,,MOBILE MACHINE,OTHER,1991
3615,SILVER,SALOON,1830,2006,1,1465,USED,PRIVATE,NISSAN,PRIMERA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1997
3616,BLUE,SALOON,2490,2006,1,1685,USED,PRIVATE,BMW,323,PETROL,2,5,IMPORTED BUILT-UP,GERMANY,0,JAPAN,I,SELWYN DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1998
3617,GREY,LIGHT VAN,2400,2006,7,1575,NEW,PRIVATE,HONDA,ODYSSEY,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,118,NONE,VTIL 7ST 2.4 5DR 5A,AUCKLAND,5-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
3618,BLUE,STATION WAGON,3153,2004,9,2205,USED,PRIVATE,NISSAN,TERRANO,DIESEL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,SELWYN DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1997
3619,WHITE,UTILITY,1780,2004,9,2155,USED,PRIVATE,MAZDA,BONGO,PETROL,2,3,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,CHRISTCHURCH CITY,,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,1998
3620,RED,HATCHBACK,2260,2005,9,1713,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,115,NONE,SPORTHATCH SP23 2.3,OPOTIKI DISTRICT,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3621,BLUE,SALOON,1599,2008,7,1650,NEW,PRIVATE,KIA,RIO,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,82,NONE,1.6 SEDAN AUTO,DUNEDIN CITY,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2008
3622,RED,UTILITY,2389,1991,11,2550,NEW,PRIVATE,NISSAN,NAVARA,PETROL,0,2,UNKNOWN,JAPAN,0,NONE,,NEW PLYMOUTH DISTRICT,,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,1991
3623,BROWN,STATION WAGON,1298,1980,4,0,NEW,PRIVATE,FORD,ESCORT,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,HAMILTON CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1980
3624,WHITE,SALOON,2165,2004,7,1665,USED,PRIVATE,TOYOTA,GRACIA,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,WHANGANUI DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1999
3625,BLUE,FLAT-DECK TRUCK,2660,2005,8,3285,USED,BUSINESS/FINANCIAL,NISSAN,ATLAS,DIESEL,2,3,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,AUCKLAND,,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,1996
3626,BLACK,STATION WAGON,2664,2004,7,2195,USED,PRIVATE,NISSAN,TERRANO,DIESEL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,FAR NORTH DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1996
3627,GOLD,SALOON,1998,2005,12,1674,NEW,PRIVATE,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,104,NONE,SEDAN GSX 2.0 AUTO,HAMILTON CITY,4-GEAR AUTO,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
3628,BLUE,DOMESTIC TRAILER,0,1996,3,0,NEW,PRIVATE,HOMEBUILT,DOMESTIC TRAILER,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,DUNEDIN CITY,,TRAILER/CARAVAN,OTHER GOODS,1996
3629,SILVER,STATION WAGON,1600,1990,4,0,NEW,PRIVATE,NISSAN,SENTRA,PETROL,0,5,UNKNOWN,JAPAN,0,NONE,,HASTINGS DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1990
3630,WHITE,STATION WAGON,2250,2005,2,1655,USED,PRIVATE,HONDA,ACCORD,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,WESTERN BAY OF PLENTY DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1997
3631,WHITE,UTILITY,2999,2006,5,2800,NEW,PRIVATE,HOLDEN,RODEO,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,96,NONE,LT CREW PU 3L MAN,AUCKLAND,5-GEAR MANUAL,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2006
3632,SILVER,SPORTS CAR,1890,2005,12,1545,USED,PRIVATE,BMW,318,PETROL,0,5,IMPORTED BUILT-UP,GERMANY,0,JAPAN,TI,KAPITI COAST DISTRICT,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1997
3633,BLUE,FLAT-DECK TRAILER,0,2006,4,0,NEW,UNKNOWN,TRAILER,TANDEM,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,MARLBOROUGH DISTRICT,,TRAILER/CARAVAN,OTHER GOODS,2006
3634,GREEN,SALOON,1998,2006,7,1460,USED,PRIVATE,NISSAN,SILVIA,PETROL,2,4,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1994
3635,GOLD,SALOON,2000,1981,10,0,NEW,PRIVATE,FORD,CORTINA,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,CHRISTCHURCH CITY,,PASSENGER CAR/VAN,PRIVATE PASSENGER,1981
3636,BLACK,MOTORCYCLE,48,2007,10,79,NEW,UNKNOWN,HONDA,MOTO NZ50,PETROL,0,0,IMPORTED BUILT-UP,CHINA,0,NONE,,FAR NORTH DISTRICT,,MOPED,PRIVATE PASSENGER,2007
3637,SILVER,DOMESTIC TRAILER,0,2006,11,1250,NEW,UNKNOWN,FACTORY BUILT,BRENT SMITH TRAILERS,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,PALMERSTON NORTH CITY,,TRAILER/CARAVAN,OTHER GOODS,2006
