origintime,longitude,latitude,depth,magnitude
2020-02-2802:10:29.406,177.9729309,-36.1333313,226.7655029,3.029277216
2019-07-0610:17:10.574,175.8882599,-38.81327438,7.440567493,3.029744478
2019-06-0504:43:37.027,177.7488556,-39.09225464,41.79981613,3.031048165
2019-12-0908:06:52.911,177.6212921,-36.86375427,196.7295837,3.031487177
2019-09-0513:59:56.998,179.4097137,-37.69021225,12,3.031881102
2019-12-0414:20:23.183,173.8308716,-42.26776886,10.65847301,3.032242474
2019-12-2710:50:49.324,176.3449249,-40.29200745,21.93445206,3.032816712
2020-05-1014:26:10.651,179.739151,-36.9394722,12,3.033073874
2019-06-0622:47:08.255,173.8700867,-40.54055023,83.41661835,3.033219165
2019-12-1310:35:08.733,178.4199677,-35.41147995,187.9469604,3.033836157
2020-04-2501:52:19.514,179.0687256,-36.98299789,13.78647614,3.034723943
2020-05-2710:51:49.326,176.0689545,-38.30615234,5,3.034751684
2019-06-1019:58:13.907,168.167984,-44.35242462,5,3.035879082
2019-06-1916:56:29.116,177.1595306,-37.53799438,5,3.037184629
2020-03-1222:55:14.847,174.8778076,-39.06393051,190.854538,3.03755199
2019-06-1009:21:17.753,168.1601105,-44.33362579,5,3.037831606
2019-11-0414:04:21.643,174.3649445,-40.34539795,12.49829483,3.037881493
2020-01-0822:15:35.807,177.3527679,-37.45780945,103.9916687,3.038302026
2019-06-0222:02:11.988,173.7102966,-42.17396164,7.653982162,3.038795827
2019-06-2815:31:06.487,176.9219055,-36.8825798,272.0046997,3.039206443
2019-12-2908:49:41.128,174.6508026,-41.61504745,22.59716034,3.039325942
2019-06-2209:31:32.778,177.1226196,-37.53061295,7.949350357,3.039722092
2019-08-1306:18:59.592,179.2414093,-37.00218201,12,3.040170578
2019-07-2907:00:03.803,175.8894958,-38.60882187,116.0556564,3.040273212
2020-01-1116:40:51.196,177.232132,-36.92615891,5,3.040345426
2019-06-1813:29:26.730,178.854126,-35.42451477,172.9849243,3.040450048
2020-03-2005:05:54.442,175.3836517,-40.71844864,53.73719406,3.041429732
2019-08-2421:35:50.370,174.4127045,-41.59123611,8.963446617,3.041618823
2019-06-2211:16:15.103,177.136261,-37.50409698,1.897517562,3.041879742
2019-08-0510:12:59.990,174.68367,-39.21040726,186.9232025,3.041983081
2019-06-1200:26:25.017,173.9767914,-41.94271088,7.982207775,3.042230907
2019-12-1014:40:45.558,172.1521301,-43.51667786,9.04158783,3.04257217
2019-10-2807:57:23.492,172.4557037,-41.35261536,177.2908783,3.042824679
2019-09-1619:36:08.449,167.3575745,-44.9046669,26.20254707,3.04284273
2020-02-1817:29:35.415,175.3277435,-39.10634613,8.092262268,3.042978413
2019-08-2717:25:14.668,166.927124,-46.05035019,72.4745636,3.043604964
2019-11-0314:46:52.673,166.7188263,-45.36265945,5,3.043757959
2020-05-0509:54:47.967,177.1984558,-37.05316162,148.022522,3.045161492
2020-01-1404:56:09.985,174.3593597,-40.23059464,12,3.04525095
2020-01-2916:50:44.357,179.1117401,-35.07325745,222.1325226,3.045504416
2019-10-2422:02:55.265,172.4177094,-41.59848022,5,3.045626163
2020-01-1622:54:57.570,174.7728882,-40.45544434,2.678381443,3.045816265
2019-10-2814:03:19.078,179.1228943,-37.1766777,14.28825283,3.046305391
2020-02-0621:14:37.672,177.7041168,-39.25534821,25.78686714,3.047166954
2019-08-1610:14:17.547,177.194809,-37.02150726,12,3.04718705
2019-08-1420:53:35.437,177.389328,-38.72662354,25.38584518,3.047545881
2019-12-1812:38:58.537,176.6237946,-38.81856537,41.20635223,3.047566808
2020-01-1810:02:49.205,175.31427,-39.11156464,7.788192272,3.047590166
2019-08-0909:08:58.782,176.0233765,-38.07156754,5,3.047687739
2019-08-1504:37:05.166,167.8108521,-44.54682922,5,3.047717878
2019-06-2512:49:14.323,176.9768066,-37.88219452,3.880817175,3.048108428
2019-11-1709:11:57.700,176.0059509,-38.225914,144.9829254,3.048399549
2020-03-2714:25:43.862,177.9600677,-42.09495544,33,3.048708317
2020-05-2010:31:29.588,176.643158,-39.94455338,31.92523003,3.049162505
2020-02-1608:28:18.963,176.9015198,-38.35949326,42.86489487,3.049217281
2019-06-2010:53:28.017,177.1370087,-37.55855179,5,3.049549275
2020-04-2502:08:47.040,176.2479401,-40.40897369,30.18803787,3.049597108
2020-04-0808:39:46.147,176.0623779,-40.02149582,23.85618401,3.049623917
2019-11-1003:54:05.909,178.055481,-37.6885643,27.8835144,3.049663338
2019-09-1100:02:55.424,172.9196625,-42.61833572,7.654657841,3.050097073
2019-09-0211:25:06.626,176.6345978,-39.86603546,37.53083038,3.050280972
2019-08-0814:21:02.580,174.3227386,-41.01972198,48.72949219,3.050292986
2019-08-1018:18:28.081,168.1432495,-44.33578873,1.550010562,3.051370072
2020-01-0914:04:04.661,178.1672058,-35.6762886,184.7972565,3.051640936
2020-02-0507:06:28.216,172.7479401,-40.51985168,2.46144557,3.052029694
2019-10-0222:47:04.630,177.774292,-39.11115646,17.97364426,3.052063379
2019-10-2622:38:25.589,167.4597168,-44.6989975,5,3.052612839
2019-06-0816:44:48.282,168.1338501,-44.34864807,5,3.052873749
2019-08-0819:16:46.054,175.4597626,-40.89470291,21.02344894,3.053411296
2019-06-2921:38:42.160,178.6816711,-35.85569,186.9209442,3.053579878
2019-11-2813:26:42.035,177.8370667,-35.50875854,258.5801086,3.053904439
2020-01-2218:39:16.854,177.7298279,-39.03962326,23.97388268,3.054022774
2019-09-0314:59:27.069,175.8833618,-38.86819458,5,3.054295276
2020-03-2914:06:27.182,177.966217,-38.67627335,25.09390259,3.054660335
2019-08-1213:33:34.583,167.8218079,-44.53319931,5,3.054883664
2020-03-1706:54:08.288,179.309845,-37.54015732,12,3.055355493
2020-05-1221:56:08.826,166.9930115,-45.01715469,5,3.055427923
2020-01-2418:14:19.287,172.2148288,-42.15003773,224.375,3.056056727
