HHID,HHSTRUCTURE,DWELLTYPE,OWNDWELL,HHINC_grp,HHSIZE,YEARSLIVED,TOTALBIKESUSED,TOTALVEHS,ADULTS,AGE5_18,TERTIARYEDU,SECONDARYEDU,PRIMARYEDU,FULLTIME,PARTTIME,CASUAL,TOTWORK,TOTTRIPS
AAAA130616,Sole Person,Separate House,Rented,650 - 1099,1,16,0,0,1,0,0,0,0,0,0,1,0,6
AAAA040020,Couple no Kids,Separate House,Owned,650 - 1099,2,9,0,1,2,0,0,0,0,0,0,0,0,3
AAAA032401,Sole Person,Separate House,Being Purchased,1100 - 1649,1,16,0,1,1,0,1,0,0,1,0,0,1,2
AAAA133437,Couple no Kids,Separate House,Owned,1100 - 1649,2,38,0,3,2,0,0,0,0,0,0,0,0,0
AAAA072630,Sole Person,Other,Owned,<650,1,9,0,1,1,0,0,0,0,0,0,0,0,2
AAAA040532,Couple with Kids,Separate House,Owned,1650 - 2499,4,4,0,2,2,2,0,0,2,2,0,0,2,14
AAAA110015,Couple no Kids,Separate House,Owned,<650,2,6,0,2,2,0,0,0,0,0,0,0,0,3
AAAA130706,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,13,0,2,2,2,0,1,1,0,1,1,1,21
AAAA084427,Couple no Kids,Separate House,Owned,650 - 1099,2,16,0,2,2,0,0,0,0,0,0,0,0,2
AAAA084426,Other HH Structures,Separate House,Being Purchased,1100 - 1649,3,11,1,3,3,0,0,0,0,2,0,0,0,9
AAAA011219,Sole Person,Separate House,Owned,650 - 1099,1,12,0,1,1,0,0,0,0,1,0,0,0,5
AAAA060823,Sole Person,Flat or Apartment,Rented,<650,1,5,0,1,1,0,0,0,0,0,0,0,0,3
AAAA204311,Sole Person,Terrace/Townhouse,Being Purchased,1100 - 1649,1,4,0,1,1,0,0,0,0,1,0,0,1,2
AAAA144516,Couple no Kids,Flat or Apartment,Rented,1650 - 2499,2,0,0,2,2,0,0,0,0,1,0,1,2,16
AAAA174405,Sole Person,Separate House,Owned,1100 - 1649,1,6,0,1,1,0,0,0,0,1,0,0,0,2
AAAA065503,Couple no Kids,Separate House,Owned,1100 - 1649,2,16,0,2,2,0,0,0,0,2,0,0,2,4
AAAA094623,Couple with Kids,Separate House,Rented,650 - 1099,4,2,0,0,2,0,1,0,0,0,0,1,1,2
AAAA112737,Sole Person,Separate House,Owned,<650,1,41,0,1,1,0,0,0,0,0,0,0,0,3
AAAA091011,Sole Person,Separate House,Rented,650 - 1099,1,13,0,1,1,0,0,0,0,1,0,0,4,5
AAAA033318,Other HH Structures,Separate House,Owned,2500+,2,8,1,2,2,0,0,0,0,2,0,0,1,3
AAAA042138,One-Parent,Separate House,Being Purchased,<650,2,5,0,2,2,0,0,0,0,0,1,0,1,2
AAAA095042,Couple with Kids,Separate House,Owned,650 - 1099,4,16,1,4,4,0,2,0,0,0,0,1,1,4
AAAA094237,Sole Person,Flat or Apartment,Owned,<650,1,3,0,1,1,0,1,0,0,0,0,0,1,5
AAAA053609,Couple with Kids,Flat or Apartment,Rented,1100 - 1649,4,0,0,1,2,2,0,2,0,1,0,0,0,27
AAAA055015,Sole Person,Separate House,Owned,<650,1,23,0,1,1,0,0,0,0,0,0,0,0,2
AAAA041212,Other HH Structures,Separate House,Owned,650 - 1099,5,32,0,1,3,1,0,0,1,0,0,1,1,8
AAAA151832,Couple no Kids,Separate House,Owned,650 - 1099,2,30,0,2,2,0,0,0,0,0,0,0,0,4
AAAA102711,Couple with Kids,Separate House,Owned,1100 - 1649,4,22,0,1,3,1,1,1,0,1,0,1,1,15
AAAA124830,Couple no Kids,Separate House,Rented,1100 - 1649,2,1,0,2,2,0,0,0,0,2,0,0,2,8
AAAA095016,Couple no Kids,Separate House,Owned,650 - 1099,2,25,0,1,2,0,0,0,0,0,0,0,0,6
AAAA022528,Couple with Kids,Other,Owned,1100 - 1649,4,11,2,2,2,2,0,0,2,1,1,0,0,12
AAAA031331,Other HH Structures,Separate House,Rented,650 - 1099,2,11,0,2,2,0,0,0,0,1,0,0,1,4
AAAA073414,Couple with Kids,Terrace/Townhouse,Rented,1650 - 2499,4,7,0,2,2,1,0,1,0,1,0,0,0,0
AAAA090833,Couple with Kids,Separate House,Rented,1100 - 1649,5,0,0,1,4,1,0,1,0,0,0,0,0,14
AAAA145020,Sole Person,Separate House,Owned,<650,1,5,0,1,1,0,0,0,0,0,0,0,0,4
AAAA113618,Other HH Structures,Separate House,Being Purchased,650 - 1099,2,28,0,2,2,0,0,0,0,0,0,1,0,2
AAAA053417,Couple with Kids,Separate House,Owned,1650 - 2499,3,24,0,3,3,0,0,0,0,2,0,1,0,0
AAAA142836,Couple no Kids,Separate House,Owned,<650,2,36,0,0,2,0,0,0,0,0,0,0,0,0
AAAA133610,Couple with Kids,Separate House,Rented,2500+,5,2,2,2,2,3,0,1,2,1,0,1,0,20
AAAA073333,Couple with Kids,Separate House,Owned,2500+,5,5,3,2,2,2,0,0,2,1,1,0,5,7
AAAA131815,Couple with Kids,Separate House,Rented,1650 - 2499,4,0,0,2,2,2,0,1,1,1,0,0,1,11
AAAA053932,Couple with Kids,Separate House,Being Purchased,2500+,5,2,0,2,2,3,1,2,0,2,0,0,1,7
AAAA064323,Couple no Kids,Separate House,Owned,650 - 1099,2,15,0,1,2,0,0,0,0,0,0,0,0,28
AAAA145226,Sole Person,Flat or Apartment,Owned,<650,1,12,0,0,1,0,0,0,0,0,0,0,0,2
AAAA033428,Other HH Structures,Separate House,Owned,650 - 1099,4,6,0,0,1,1,0,0,1,0,0,0,0,0
AAAA163539,Couple no Kids,Separate House,Owned,650 - 1099,2,27,0,2,2,0,0,0,0,0,1,0,1,2
AAAA032836,Sole Person,Separate House,Rented,650 - 1099,1,1,1,1,1,0,0,0,0,0,1,0,1,2
AAAA205416,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,16,0,3,3,0,0,1,0,1,0,0,1,12
AAAA052317,Couple no Kids,Separate House,Owned,650 - 1099,2,43,0,1,2,0,0,0,0,0,0,0,1,11
AAAA052020,Other HH Structures,Separate House,Owned,<650,2,48,0,0,2,0,0,0,0,0,0,0,0,0
AAAA051430,Couple with Kids,Separate House,Owned,650 - 1099,4,7,2,2,2,0,0,0,0,1,0,0,1,8
AAAA065517,Couple no Kids,Flat or Apartment,Rented,1650 - 2499,2,1,0,1,2,0,1,0,0,2,0,0,2,4
AAAA015041,Sole Person,Flat or Apartment,Rented,2500+,1,2,0,1,1,0,0,0,0,1,0,0,0,4
AAAA053830,Sole Person,Flat or Apartment,Owned,<650,1,17,0,0,1,0,0,0,0,0,0,0,0,0
AAAA064842,Couple with Kids,Separate House,Rented,2500+,3,4,1,2,2,0,0,0,0,1,1,0,1,5
AAAA073721,Couple no Kids,Separate House,Owned,650 - 1099,2,37,0,2,2,0,0,0,0,0,0,1,0,10
AAAA061607,Couple with Kids,Separate House,Being Purchased,2500+,5,19,0,2,2,3,1,3,0,1,0,0,0,29
AAAA140423,One-Parent,Separate House,Owned,<650,3,2,2,1,1,2,0,0,2,0,1,0,1,10
AAAA175236,Couple with Kids,Separate House,Rented,1100 - 1649,4,0,0,2,2,2,0,2,0,1,0,0,2,20
AAAA082838,Couple no Kids,Separate House,Owned,650 - 1099,2,6,0,2,2,0,0,0,0,0,0,0,0,8
AAAA205212,Sole Person,Separate House,Owned,<650,1,18,0,1,1,0,0,0,0,0,1,0,0,0
AAAA075134,Couple no Kids,Terrace/Townhouse,Being Purchased,1100 - 1649,2,3,0,2,2,0,0,0,0,1,0,0,0,10
AAAA065332,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,25,0,4,4,0,1,0,0,1,1,0,0,1
AAAA154139,Couple no Kids,Separate House,Owned,650 - 1099,2,40,3,2,2,0,0,0,0,0,0,0,0,4
AAAA091412,Sole Person,Flat or Apartment,Rented,<650,1,25,0,0,1,0,0,0,0,0,0,0,0,2
AAAA125338,Couple with Kids,Separate House,Being Purchased,<650,3,12,1,2,2,1,0,1,0,0,0,0,0,8
AAAA013415,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,5,0,2,2,0,0,0,0,1,0,1,1,10
AAAA054533,Couple no Kids,Separate House,Being Purchased,1100 - 1649,2,10,0,1,2,0,0,0,0,1,0,0,1,2
AAAA104524,Couple with Kids,Separate House,Owned,2500+,3,18,0,2,3,0,0,0,0,1,1,0,3,10
AAAA104403,Sole Person,Separate House,Owned,650 - 1099,1,22,0,1,1,0,0,0,0,0,0,0,0,2
AAAA081509,Couple with Kids,Separate House,Being Purchased,2500+,5,4,0,5,2,3,0,0,3,1,0,0,1,12
AAAA152922,Sole Person,Terrace/Townhouse,Owned,<650,1,4,0,1,1,0,0,0,0,0,0,0,0,2
AAAA093813,Couple with Kids,Terrace/Townhouse,Being Purchased,650 - 1099,3,2,0,2,2,0,0,0,0,2,0,0,0,2
AAAA152130,Couple no Kids,Flat or Apartment,Rented,1100 - 1649,2,8,0,2,2,0,1,0,0,1,0,0,5,9
AAAA085131,Couple with Kids,Separate House,Being Purchased,1650 - 2499,3,17,1,2,2,1,0,0,1,1,1,0,0,8
AAAA164405,Couple no Kids,Separate House,Owned,650 - 1099,2,32,0,2,2,0,0,0,0,0,0,0,0,4
AAAA151926,Couple no Kids,Separate House,Being Purchased,1650 - 2499,2,0,0,2,2,0,1,0,0,2,0,0,2,4
AAAA150629,Couple with Kids,Separate House,Owned,1650 - 2499,3,19,0,4,3,0,0,0,0,1,0,0,0,2
AAAA070942,Sole Person,Separate House,Owned,<650,1,3,0,1,1,0,0,0,0,0,0,0,0,4
AAAA064611,Couple with Kids,Separate House,Being Purchased,2500+,3,3,1,2,2,0,0,0,0,1,1,0,2,4
AAAA134022,Couple no Kids,Separate House,Owned,<650,2,48,2,2,2,0,0,0,0,0,0,0,0,4
AAAA045112,Other HH Structures,Separate House,Rented,1650 - 2499,5,0,0,1,5,0,3,0,0,0,1,1,0,0
AAAA034710,One-Parent,Flat or Apartment,Rented,650 - 1099,3,4,0,1,1,2,0,1,1,0,1,0,1,16
AAAA025326,Couple with Kids,Separate House,Being Purchased,1100 - 1649,3,10,1,2,2,1,0,1,0,2,0,0,2,7
AAAA143917,Couple with Kids,Separate House,Owned,1100 - 1649,4,3,0,3,3,0,0,0,0,1,0,0,3,24
AAAA010008,Couple with Kids,Separate House,Owned,2500+,3,10,2,4,3,0,0,0,0,2,1,0,4,6
AAAA153542,Couple with Kids,Separate House,Owned,1100 - 1649,5,23,0,2,3,2,0,2,0,1,0,0,1,16
AAAA010907,Other HH Structures,Separate House,Being Purchased,1100 - 1649,3,3,2,1,3,0,2,0,0,1,0,0,0,15
AAAA041631,Couple with Kids,Separate House,Owned,<650,6,7,0,1,2,3,0,1,2,0,0,1,0,10
AAAA195514,Couple with Kids,Flat or Apartment,Being Purchased,1650 - 2499,4,2,1,2,3,1,1,1,0,1,1,0,0,2
AAAA043432,Couple with Kids,Separate House,Owned,1650 - 2499,3,24,0,3,3,0,0,0,0,3,0,0,2,6
AAAA043216,Couple no Kids,Separate House,Owned,2500+,2,0,0,2,2,0,1,0,0,2,0,0,0,5
AAAA063807,Couple with Kids,Separate House,Owned,1650 - 2499,4,7,0,2,2,2,0,1,1,1,0,0,0,14
AAAA205323,Couple with Kids,Separate House,Rented,1650 - 2499,4,0,0,0,2,1,0,0,1,1,0,0,0,0
AAAA013929,Couple with Kids,Separate House,Owned,2500+,4,1,0,2,2,2,0,1,1,1,0,0,2,19
AAAA194710,Couple no Kids,Separate House,Rented,650 - 1099,2,1,0,2,2,0,0,0,0,1,0,1,2,4
AAAA102807,Couple no Kids,Separate House,Being Purchased,2500+,2,2,0,3,2,0,0,0,0,2,0,0,1,4
AAAA010611,Couple with Kids,Separate House,Owned,1100 - 1649,5,7,2,3,2,2,0,0,2,1,0,0,1,15
AAAA084032,Couple no Kids,Separate House,Owned,<650,2,7,1,1,2,0,0,0,0,0,0,0,0,4
AAAA113515,Couple with Kids,Separate House,Being Purchased,1650 - 2499,3,1,1,2,2,0,0,0,0,1,0,0,0,10
AAAA082708,Couple with Kids,Separate House,Being Purchased,<650,4,3,0,3,3,1,0,1,0,2,1,0,2,8
AAAA204539,Couple no Kids,Separate House,Owned,650 - 1099,2,28,0,2,2,0,0,0,0,1,1,0,1,2
AAAA032816,Couple with Kids,Separate House,Being Purchased,2500+,4,14,2,2,2,1,0,0,1,1,1,0,0,6
AAAA104635,Couple with Kids,Separate House,Owned,650 - 1099,4,8,1,1,2,0,0,0,0,1,0,1,0,0
AAAA020111,Couple no Kids,Separate House,Owned,650 - 1099,2,12,0,2,2,0,0,0,0,0,0,0,0,10
AAAA163515,Sole Person,Separate House,Owned,650 - 1099,1,3,2,1,1,0,0,0,0,0,0,0,0,4
AAAA071030,Sole Person,Separate House,Owned,<650,1,11,0,0,1,0,0,0,0,0,0,0,0,0
AAAA031104,Other HH Structures,Separate House,Owned,1650 - 2499,3,35,0,1,2,0,0,0,0,1,0,0,1,3
AAAA120928,Couple no Kids,Separate House,Being Purchased,2500+,2,13,2,3,1,0,0,0,0,1,0,0,0,3
AAAA150609,Couple with Kids,Separate House,Being Purchased,1650 - 2499,3,6,1,2,2,0,0,0,0,1,1,0,1,2
AAAA143308,Couple with Kids,Separate House,Rented,650 - 1099,3,4,2,2,2,1,0,0,1,1,0,0,1,2
AAAA153726,Couple with Kids,Separate House,Owned,650 - 1099,3,28,1,2,2,1,0,1,0,0,0,0,0,10
AAAA064105,Couple with Kids,Separate House,Rented,1100 - 1649,5,2,2,2,3,2,1,1,0,1,0,0,2,20
AAAA080203,Couple no Kids,Separate House,Owned,1650 - 2499,2,0,0,2,2,0,1,0,0,2,0,0,1,5
AAAA012128,Couple no Kids,Terrace/Townhouse,Owned,650 - 1099,2,11,0,2,2,0,0,0,0,2,0,0,0,4
AAAA184141,Couple with Kids,Separate House,Owned,1100 - 1649,6,3,0,2,2,3,0,1,2,1,0,0,0,23
AAAA060037,Couple with Kids,Separate House,Rented,1100 - 1649,5,4,2,3,2,3,0,1,2,1,0,0,0,27
AAAA060303,Sole Person,Flat or Apartment,Rented,650 - 1099,1,0,0,3,1,0,0,0,0,1,0,0,1,4
AAAA022007,Couple with Kids,Separate House,Being Purchased,1100 - 1649,3,2,1,1,2,0,0,0,0,2,0,0,1,11
AAAA083033,Couple with Kids,Separate House,Owned,1650 - 2499,6,3,1,2,3,3,2,2,0,1,0,0,0,2
AAAA075305,Couple no Kids,Separate House,Rented,650 - 1099,2,0,0,1,2,0,0,0,0,0,0,0,0,3
AAAA120927,Couple with Kids,Separate House,Owned,2500+,3,7,1,2,2,0,0,0,0,1,1,0,1,12
AAAA194902,Couple no Kids,Separate House,Owned,<650,2,48,0,2,2,0,0,0,0,0,0,0,0,18
AAAA150716,Couple with Kids,Separate House,Owned,1100 - 1649,3,2,0,5,3,0,1,0,0,2,0,0,2,12
AAAA050830,Sole Person,Separate House,Owned,1100 - 1649,1,0,0,1,1,0,0,0,0,1,0,0,1,5
AAAA040811,One-Parent,Separate House,Rented,1100 - 1649,2,0,0,2,2,0,0,0,0,1,1,0,1,3
AAAA082515,Couple with Kids,Separate House,Owned,2500+,5,4,2,4,4,1,1,1,0,2,0,0,3,7
AAAA013038,Sole Person,Flat or Apartment,Rented,<650,1,7,1,0,1,0,0,0,0,0,0,0,0,5
AAAA121504,Sole Person,Separate House,Rented,1100 - 1649,1,0,0,1,1,0,0,0,0,1,0,0,1,2
AAAA063536,Couple with Kids,Separate House,Owned,2500+,3,20,0,2,3,0,0,0,0,1,0,1,1,2
AAAA055340,Couple no Kids,Separate House,Occupied Rent-Free,1650 - 2499,2,0,0,2,2,0,0,0,0,2,0,0,1,4
AAAA022111,Couple no Kids,Separate House,Being Purchased,1650 - 2499,2,6,0,2,2,0,0,0,0,2,0,0,2,4
AAAA030324,Sole Person,Separate House,Owned,<650,1,55,0,1,1,0,0,0,0,0,0,0,0,0
AAAA070438,Sole Person,Terrace/Townhouse,Owned,650 - 1099,1,4,1,1,1,0,0,0,0,0,1,0,3,4
AAAA022526,One-Parent,Flat or Apartment,Owned,650 - 1099,2,10,0,1,2,0,1,0,0,0,0,0,0,0
AAAA023724,Other HH Structures,Separate House,Rented,1100 - 1649,3,1,0,2,3,0,0,0,0,2,0,0,1,6
AAAA174503,Other HH Structures,Separate House,Rented,2500+,2,0,1,1,2,0,0,0,0,1,1,0,2,5
AAAA095226,Couple no Kids,Separate House,Being Purchased,2500+,2,6,0,3,2,0,0,0,0,2,0,0,2,4
AAAA044020,Couple with Kids,Separate House,Being Purchased,<650,7,0,2,1,2,4,2,1,2,0,0,0,0,4
AAAA043716,Couple with Kids,Separate House,Being Purchased,2500+,3,24,0,2,3,0,0,0,0,0,1,2,2,8
AAAA061839,Other HH Structures,Separate House,Owned,<650,3,44,0,1,3,0,0,0,0,0,0,0,0,12
AAAA143009,Couple no Kids,Separate House,Rented,650 - 1099,2,0,0,2,2,0,0,0,0,1,1,0,1,13
AAAA090822,One-Parent,Separate House,Rented,<650,4,5,3,1,1,1,0,0,1,0,0,0,0,5
AAAA151003,Couple with Kids,Separate House,Being Purchased,650 - 1099,4,10,0,3,2,2,0,1,1,1,0,0,0,15
AAAA112314,Sole Person,Separate House,Being Purchased,1100 - 1649,1,5,0,1,1,0,0,0,0,1,0,0,1,2
AAAA050805,Sole Person,Separate House,Owned,<650,1,11,0,1,1,0,0,0,0,0,0,0,0,5
AAAA134711,Other HH Structures,Separate House,Rented,650 - 1099,2,0,0,3,2,0,1,0,0,0,1,0,0,0
AAAA064315,Couple no Kids,Separate House,Rented,<650,2,14,0,1,2,0,0,0,0,0,0,0,0,0
AAAA194516,Sole Person,Separate House,Owned,<650,1,0,0,1,1,0,0,0,0,0,0,0,0,0
AAAA111640,Sole Person,Other,Owned,<650,1,40,0,1,1,0,0,0,0,0,0,0,0,0
AAAA110820,Sole Person,Separate House,Owned,<650,1,16,0,1,1,0,0,0,0,0,0,0,0,0
AAAA014027,Couple with Kids,Separate House,Owned,1100 - 1649,4,4,3,2,2,2,0,0,2,1,0,0,0,23
AAAA094818,Couple no Kids,Other,Owned,<650,2,9,0,2,2,0,0,0,0,0,0,0,0,6
AAAA011208,Couple no Kids,Terrace/Townhouse,Rented,1650 - 2499,2,0,0,1,2,0,0,0,0,2,0,0,0,4
AAAA142003,Couple no Kids,Separate House,Owned,1100 - 1649,2,3,1,2,2,0,0,0,0,1,0,0,2,11
AAAA090641,Sole Person,Terrace/Townhouse,Rented,2500+,1,25,0,1,1,0,0,0,0,1,0,0,0,6
AAAA072409,Couple with Kids,Separate House,Being Purchased,1100 - 1649,5,17,0,0,3,2,0,1,0,3,0,0,0,17
AAAA134627,Couple with Kids,Separate House,Being Purchased,2500+,3,4,0,2,2,1,1,1,0,0,1,0,0,9
AAAA071314,Couple with Kids,Separate House,Owned,650 - 1099,3,5,0,1,2,0,0,0,0,1,1,0,0,12
AAAA093017,Sole Person,Separate House,Rented,<650,1,0,0,1,1,0,0,0,0,0,0,0,0,4
AAAA144036,Couple with Kids,Separate House,Being Purchased,2500+,4,8,2,2,2,1,0,0,1,1,0,0,1,8
AAAA061726,Couple with Kids,Separate House,Owned,1650 - 2499,5,10,2,2,2,3,0,1,2,1,1,0,2,16
AAAA121626,Sole Person,Separate House,Owned,<650,1,36,0,1,1,0,0,0,0,0,0,0,0,0
AAAA074734,Couple no Kids,Separate House,Owned,650 - 1099,2,33,0,2,2,0,0,0,0,0,0,0,0,0
AAAA184708,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,2,1,1,2,0,0,0,0,1,0,0,1,8
AAAA083139,Couple no Kids,Separate House,Owned,650 - 1099,2,26,0,1,2,0,0,0,0,0,0,0,0,0
AAAA045540,Couple no Kids,Separate House,Owned,1100 - 1649,2,42,0,2,2,0,0,0,0,0,0,1,0,8
AAAA194537,Couple with Kids,Separate House,Being Purchased,2500+,4,1,0,2,2,0,0,0,0,1,0,1,1,9
AAAA195314,Couple with Kids,Separate House,Being Purchased,2500+,3,12,0,2,2,1,0,1,0,2,0,0,0,3
AAAA030913,Couple with Kids,Separate House,Owned,2500+,4,23,0,6,3,1,1,0,0,2,0,1,0,14
AAAA060734,Sole Person,Flat or Apartment,Owned,650 - 1099,1,31,0,0,1,0,0,0,0,1,0,0,0,6
AAAA040422,Couple with Kids,Separate House,Rented,1100 - 1649,4,1,0,2,3,1,0,1,0,2,0,0,2,6
AAAA154317,One-Parent,Separate House,Being Purchased,<650,2,25,0,1,2,0,2,0,0,1,0,0,1,10
AAAA053522,Couple no Kids,Separate House,Owned,1100 - 1649,2,29,0,2,2,0,0,0,0,0,0,0,0,8
AAAA204834,Sole Person,Separate House,Owned,<650,1,5,0,1,1,0,0,0,0,0,0,0,0,0
AAAA015212,Other HH Structures,Terrace/Townhouse,Rented,2500+,2,2,0,0,2,0,0,0,0,2,0,0,2,5
AAAA051306,Couple no Kids,Separate House,Owned,<650,2,52,0,1,2,0,0,0,0,0,0,0,0,0
AAAA104834,Couple with Kids,Separate House,Owned,<650,3,52,0,1,3,0,0,0,0,0,0,0,0,10
AAAA123233,Sole Person,Separate House,Rented,<650,1,13,0,0,1,0,0,0,0,0,0,0,0,6
AAAA052715,One-Parent,Separate House,Owned,1100 - 1649,2,3,1,3,2,0,0,0,0,2,0,0,4,12
AAAA112912,Couple with Kids,Separate House,Owned,1650 - 2499,3,29,0,2,3,0,0,0,0,0,3,0,1,13
AAAA151531,One-Parent,Separate House,Being Purchased,<650,2,5,2,1,1,0,0,0,0,0,0,0,0,5
AAAA130437,Couple with Kids,Separate House,Owned,2500+,3,18,0,4,3,0,0,0,0,3,0,0,9,19
AAAA044601,Couple with Kids,Separate House,Being Purchased,2500+,5,0,0,2,2,3,2,2,0,1,0,0,1,16
AAAA052637,Couple with Kids,Separate House,Owned,1650 - 2499,3,15,0,3,3,0,0,0,0,2,1,0,1,4
AAAA014842,Other HH Structures,Flat or Apartment,Rented,2500+,2,8,0,1,2,0,0,0,0,2,0,0,0,2
AAAA042521,Couple with Kids,Separate House,Owned,2500+,5,6,3,2,2,3,0,1,2,1,1,0,0,10
AAAA074422,Couple no Kids,Other,Owned,650 - 1099,2,10,0,2,2,0,0,0,0,0,0,0,0,5
AAAA102707,Couple with Kids,Separate House,Owned,1650 - 2499,3,20,2,2,2,1,0,0,1,1,1,0,0,26
AAAA025130,One-Parent,Flat or Apartment,Rented,650 - 1099,2,12,0,1,1,1,1,0,0,1,0,0,0,0
AAAA055011,Couple no Kids,Separate House,Owned,<650,2,56,0,2,2,0,0,0,0,0,0,0,0,10
AAAA155507,Couple with Kids,Separate House,Rented,<650,4,4,0,2,2,2,0,0,2,1,1,0,0,0
AAAA014520,Couple no Kids,Terrace/Townhouse,Rented,2500+,2,2,0,1,2,0,0,0,0,2,0,0,0,8
AAAA154626,Couple with Kids,Separate House,Rented,1100 - 1649,4,0,1,1,2,0,0,0,0,1,0,0,1,14
AAAA104419,Couple no Kids,Separate House,Owned,1650 - 2499,2,12,1,2,2,0,0,0,0,1,1,0,2,5
AAAA080605,Sole Person,Flat or Apartment,Being Purchased,650 - 1099,1,5,0,0,1,0,0,0,0,1,0,0,0,0
AAAA011018,Couple with Kids,Separate House,Owned,2500+,5,11,2,2,2,3,0,1,2,1,1,0,1,20
AAAA143502,One-Parent,Separate House,Rented,650 - 1099,2,1,0,2,1,1,0,1,0,0,0,1,2,6
AAAA045009,Sole Person,Flat or Apartment,Rented,1650 - 2499,1,3,0,1,1,0,0,0,0,1,0,0,3,5
AAAA060615,Sole Person,Flat or Apartment,Rented,<650,1,2,0,1,1,0,0,0,0,0,0,1,1,2
AAAA011134,Sole Person,Separate House,Owned,<650,1,55,0,1,1,0,0,0,0,0,0,0,0,0
AAAA060709,Sole Person,Separate House,Owned,<650,1,32,0,1,1,0,0,0,0,0,0,0,0,2
AAAA070410,Couple with Kids,Separate House,Owned,<650,4,11,3,2,2,1,0,0,1,0,0,0,0,14
AAAA143127,Couple no Kids,Separate House,Being Purchased,650 - 1099,2,3,0,2,2,0,0,0,0,1,0,0,0,2
AAAA122406,Couple with Kids,Separate House,Being Purchased,2500+,3,8,0,4,3,0,0,0,0,3,0,0,0,0
AAAA174906,Couple no Kids,Terrace/Townhouse,Rented,2500+,2,1,1,1,2,0,0,0,0,2,0,0,0,19
AAAA061225,One-Parent,Separate House,Rented,650 - 1099,2,1,1,1,1,1,0,1,0,1,0,0,1,7
AAAA204509,Couple with Kids,Terrace/Townhouse,Owned,2500+,4,4,2,1,2,1,0,0,0,2,0,1,1,7
AAAA044630,Couple with Kids,Separate House,Being Purchased,<650,4,2,1,3,2,2,0,2,0,0,1,0,1,11
AAAA095112,Couple with Kids,Separate House,Owned,2500+,4,8,3,1,2,0,0,0,0,2,0,0,2,3
AAAA052909,Couple no Kids,Separate House,Being Purchased,1100 - 1649,2,31,0,2,2,0,0,0,0,1,0,0,3,9
AAAA020206,Other HH Structures,Separate House,Being Purchased,650 - 1099,5,4,0,3,3,2,0,1,0,1,0,0,0,0
AAAA152414,Couple no Kids,Separate House,Owned,1650 - 2499,2,24,0,2,2,0,0,0,0,2,0,0,0,6
AAAA124239,Couple with Kids,Separate House,Owned,2500+,4,11,0,2,2,2,0,1,1,2,0,0,1,8
AAAA061131,Sole Person,Separate House,Owned,<650,1,2,0,1,1,0,0,0,0,0,0,0,0,0
AAAA154729,Couple no Kids,Separate House,Being Purchased,1100 - 1649,2,1,1,2,2,0,0,0,0,2,0,0,2,3
AAAA120116,Couple no Kids,Separate House,Owned,1100 - 1649,2,26,0,1,2,0,0,0,0,1,0,0,2,6
AAAA060501,One-Parent,Separate House,Rented,650 - 1099,2,9,0,1,1,1,0,1,0,1,0,0,1,8
AAAA054640,Couple no Kids,Separate House,Owned,650 - 1099,2,33,0,4,2,0,0,0,0,1,0,0,0,12
AAAA063730,Couple with Kids,Separate House,Being Purchased,2500+,3,7,0,3,2,0,0,0,0,1,1,0,1,2
AAAA042331,Couple no Kids,Separate House,Being Purchased,<650,2,19,0,1,2,0,0,0,0,0,0,0,0,2
AAAA120315,Couple with Kids,Separate House,Owned,2500+,3,9,0,3,3,0,1,0,0,1,1,0,0,0
AAAA024438,Couple no Kids,Flat or Apartment,Owned,650 - 1099,2,4,0,1,2,0,0,0,0,0,0,0,0,0
AAAA101625,Couple no Kids,Separate House,Owned,650 - 1099,2,24,0,1,2,0,0,0,0,0,0,0,0,0
AAAA043225,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,0,0,3,2,2,0,2,0,1,1,0,0,0
AAAA103823,Couple no Kids,Separate House,Being Purchased,2500+,2,4,1,1,2,0,0,0,0,2,0,0,3,14
AAAA112934,Couple no Kids,Separate House,Owned,1100 - 1649,2,30,0,3,2,0,0,0,0,1,0,0,2,5
AAAA060209,Couple with Kids,Separate House,Owned,650 - 1099,5,6,0,2,2,3,0,1,2,0,0,1,1,11
AAAA062904,Couple with Kids,Separate House,Being Purchased,2500+,4,18,0,2,2,0,0,0,0,1,0,0,1,6
AAAA144208,Sole Person,Separate House,Rented,<650,1,1,0,1,1,0,0,0,0,1,0,0,0,2
AAAA050602,Couple with Kids,Terrace/Townhouse,Owned,1650 - 2499,4,25,1,1,4,0,2,0,0,1,1,0,1,12
AAAA205304,Sole Person,Other,Being Purchased,650 - 1099,1,25,0,1,1,0,0,0,0,0,0,0,0,4
AAAA151723,Sole Person,Separate House,Owned,<650,1,34,0,0,1,0,0,0,0,0,0,0,0,1
AAAA064035,Couple with Kids,Separate House,Owned,1100 - 1649,4,1,1,2,2,0,0,0,0,1,0,0,0,2
AAAA045118,One-Parent,Separate House,Being Purchased,<650,2,27,0,5,2,0,1,0,0,1,0,0,3,9
