HHID,HHSTRUCTURE,DWELLTYPE,OWNDWELL,HHINC_grp,HHSIZE,YEARSLIVED,TOTALBIKESUSED,TOTALVEHS,ADULTS,AGE5_18,TERTIARYEDU,SECONDARYEDU,PRIMARYEDU,FULLTIME,PARTTIME,CASUAL,TOTWORK,TOTTRIPS
AAAA110108,Couple with Kids,Separate House,Being Purchased,1650 - 2499,3,18,1,3,3,0,1,0,0,3,0,0,2,4
AAAA062329,Couple with Kids,Separate House,Owned,<650,4,13,0,2,4,0,1,0,0,0,0,1,0,2
AAAA020912,Couple no Kids,Separate House,Being Purchased,1650 - 2499,2,1,0,2,2,0,0,0,0,2,0,0,2,13
AAAA163634,Sole Person,Separate House,Owned,<650,1,42,0,1,1,0,0,0,0,0,0,0,0,0
AAAA062041,Couple no Kids,Separate House,Owned,<650,2,20,0,1,2,0,0,0,0,0,0,0,0,10
AAAA054135,Other HH Structures,Flat or Apartment,Rented,<650,2,3,3,0,2,0,2,0,0,0,0,0,0,2
AAAA122024,Couple no Kids,Separate House,Being Purchased,650 - 1099,2,1,0,2,2,0,0,0,0,1,1,0,2,6
AAAA151435,Couple no Kids,Separate House,Being Purchased,1100 - 1649,2,2,0,3,2,0,0,0,0,1,1,0,0,12
AAAA072805,Couple no Kids,Separate House,Owned,650 - 1099,2,51,0,2,2,0,0,0,0,0,0,0,0,8
AAAA082903,Couple with Kids,Separate House,Owned,650 - 1099,3,7,0,2,2,0,0,0,0,1,0,0,1,11
AAAA070434,Couple no Kids,Separate House,Owned,650 - 1099,2,33,0,1,2,0,0,0,0,0,0,0,0,8
AAAA082130,Couple no Kids,Separate House,Being Purchased,1650 - 2499,2,6,1,2,2,0,1,0,0,2,0,0,2,10
AAAA021007,Couple no Kids,Separate House,Owned,650 - 1099,2,35,0,2,2,0,0,0,0,0,0,0,0,2
AAAA164036,Sole Person,Separate House,Owned,650 - 1099,1,4,0,1,1,0,0,0,0,0,0,1,0,2
AAAA114719,Couple no Kids,Separate House,Owned,1100 - 1649,2,33,0,2,2,0,0,0,0,1,0,0,8,11
AAAA113406,Couple no Kids,Separate House,Being Purchased,650 - 1099,2,2,0,2,2,0,0,0,0,2,0,0,0,6
AAAA083022,Couple with Kids,Separate House,Being Purchased,1650 - 2499,3,26,0,3,3,0,0,0,0,1,1,0,1,2
AAAA125505,Couple with Kids,Separate House,Being Purchased,1100 - 1649,3,0,2,2,2,0,1,0,0,1,0,0,3,11
AAAA184132,Couple with Kids,Separate House,Owned,1650 - 2499,4,11,0,2,3,1,1,0,1,2,0,0,1,8
AAAA150119,Couple no Kids,Separate House,Owned,650 - 1099,2,5,1,1,2,0,0,0,0,0,1,0,1,2
AAAA051808,Couple no Kids,Separate House,Being Purchased,2500+,2,4,0,2,2,0,0,0,0,2,0,0,1,7
AAAA115118,Couple with Kids,Separate House,Being Purchased,2500+,3,4,0,3,2,1,1,0,1,1,0,0,1,9
AAAA042820,Sole Person,Flat or Apartment,Owned,<650,1,4,0,1,1,0,0,0,0,0,0,0,0,2
AAAA054011,Couple with Kids,Separate House,Being Purchased,1100 - 1649,4,3,3,2,2,0,0,0,0,1,0,0,1,4
AAAA131602,Couple no Kids,Separate House,Owned,650 - 1099,2,12,0,1,2,0,0,0,0,0,0,0,0,5
AAAA120229,Couple with Kids,Separate House,Being Purchased,1650 - 2499,3,5,0,2,2,1,0,0,1,2,0,0,2,6
AAAA081333,Sole Person,Separate House,Owned,<650,1,17,0,1,1,0,0,0,0,0,0,0,0,2
AAAA052410,Sole Person,Separate House,Owned,<650,1,60,0,1,1,0,0,0,0,0,0,0,0,2
AAAA080732,Couple no Kids,Separate House,Being Purchased,1100 - 1649,2,0,0,2,2,0,0,0,0,1,0,1,3,8
AAAA045417,One-Parent,Separate House,Being Purchased,2500+,2,1,1,1,1,0,0,0,0,1,0,0,1,3
AAAA134532,Couple with Kids,Separate House,Rented,1100 - 1649,4,4,1,2,2,2,0,1,1,1,1,0,2,4
AAAA090231,Other HH Structures,Flat or Apartment,Rented,<650,3,4,0,0,3,0,0,1,0,0,0,0,0,2
AAAA053537,Sole Person,Other,Owned,650 - 1099,1,14,0,0,1,0,0,0,0,0,0,0,0,0
AAAA031226,Sole Person,Separate House,Owned,<650,1,30,0,0,1,0,0,0,0,0,0,0,0,0
AAAA204114,Couple with Kids,Separate House,Being Purchased,2500+,4,4,1,2,2,1,0,0,1,1,1,0,0,12
